country,code,gdp
Afghanistan,AFG,355.7778264
Africa Eastern and Southern,AFE,1545.613215
Africa Western and Central,AFW,1766.943618
Albania,ALB,6377.203096
Algeria,DZA,3700.314697
American Samoa,ASM,16653.71378
Andorra,AND,42072.31942
Angola,AGO,1927.474078
Antigua and Barbuda,ATG,17178.54372
Arab World,ARB,6419.161029
Argentina,ARG,10650.86046
Armenia,ARM,4972.783204
Aruba,ABW,29127.75938
Australia,AUS,60697.24544
Austria,AUT,53517.89045
Azerbaijan,AZE,5408.045352
"Bahamas, The",BHS,28260.43255
Bahrain,BHR,26850.00339
Bangladesh,BGD,2457.924039
Barbados,BRB,17507.46799
Belarus,BLR,7489.718947
Belgium,BEL,51850.39718
Belize,BLZ,6060.968223
Benin,BEN,1360.911474
Bermuda,BMU,111774.6691
Bhutan,BTN,3560.197705
Bolivia,BOL,3345.023002
Bosnia and Herzegovina,BIH,7230.198838
Botswana,BWA,7238.796098
Brazil,BRA,7696.78483
British Virgin Islands,VGB,
Brunei Darussalam,BRN,31448.91275
Bulgaria,BGR,12219.34187
Burkina Faso,BFA,888.7810788
Burundi,BDI,221.1578034
Cabo Verde,CPV,3398.165376
Cambodia,KHM,1625.235021
Cameroon,CMR,1654.257037
Canada,CAN,52515.19984
Caribbean small states,CSS,10174.38409
Cayman Islands,CYM,88475.60047
Central African Republic,CAF,461.137511
Central Europe and the Baltics,CEB,18814.14582
Chad,TCD,685.690315
Channel Islands,CHI,67960.727
Chile,CHL,16240.60778
China,CHN,12617.5051
Colombia,COL,6182.707099
Comoros,COM,1577.470841
"Congo, Dem. Rep.",COD,576.9747294
"Congo, Rep.",COG,2540.473212
Costa Rica,CRI,12604.04884
Cote d'Ivoire,CIV,2613.378893
Croatia,HRV,17809.03239
Cuba,CUB,
Curacao,CUW,17979.99829
Cyprus,CYP,32745.84375
Czechia,CZE,26822.51419
Denmark,DNK,69268.6518
Djibouti,DJI,3062.551482
Dominica,DMA,7668.158132
Dominican Republic,DOM,8476.749639
Early-demographic dividend,EAR,3727.933835
East Asia & Pacific,EAS,13138.72467
East Asia & Pacific (excluding high income),EAP,9813.002261
East Asia & Pacific (IDA & IBRD countries),TEA,9922.0435
Ecuador,ECU,5965.132871
"Egypt, Arab Rep.",EGY,3886.722498
El Salvador,SLV,4664.311223
Equatorial Guinea,GNQ,7406.084975
Eritrea,ERI,
Estonia,EST,27943.70122
Eswatini,SWZ,4068.573816
Ethiopia,ETH,925.0006976
Euro area,EMU,42527.84271
Europe & Central Asia,ECS,27420.81343
Europe & Central Asia (excluding high income),ECA,8912.814076
Europe & Central Asia (IDA & IBRD countries),TEC,9982.81223
European Union,EUU,38721.07794
Faroe Islands,FRO,69108.20658
Fiji,FJI,4656.051341
Finland,FIN,53504.69365
Fragile and conflict affected situations,FCS,1779.313291
France,FRA,43671.30841
French Polynesia,PYF,20230.24105
Gabon,GAB,8635.797144
"Gambia, The",GMB,772.1514505
Georgia,GEO,5023.274384
Germany,DEU,51426.75037
Ghana,GHA,2422.085913
Gibraltar,GIB,
Greece,GRC,20310.68248
Greenland,GRL,57116.29577
Grenada,GRD,9010.5128
Guam,GUM,35904.86355
Guatemala,GTM,5029.477555
Guinea,GIN,1189.175999
Guinea-Bissau,GNB,795.118605
Guyana,GUY,9994.645704
Haiti,HTI,1823.742224
Heavily indebted poor countries (HIPC),HPC,1047.075198
High income,HIC,48535.46582
Honduras,HND,2771.722654
"Hong Kong SAR, China",HKG,49764.79312
Hungary,HUN,18753.04695
IBRD only,IBD,7284.449127
Iceland,ISL,68710.2442
IDA & IBRD total,IBT,5718.690003
IDA blend,IDB,1844.32001
IDA only,IDX,1272.350348
IDA total,IDA,1461.411109
India,IND,2238.127142
Indonesia,IDN,4334.215983
"Iran, Islamic Rep.",IRN,4084.200305
Iraq,IRQ,4770.835343
Ireland,IRL,102001.7982
Isle of Man,IMN,
Israel,ISR,52129.51596
Italy,ITA,36449.25834
Jamaica,JAM,5183.581018
Japan,JPN,40058.53733
Jordan,JOR,4152.757954
Kazakhstan,KAZ,10373.78979
Kenya,KEN,2069.661129
Kiribati,KIR,1766.144289
"Korea, Dem. People's Rep.",PRK,
"Korea, Rep.",KOR,35142.26427
Kosovo,XKX,5269.783901
Kuwait,KWT,32324.8409
Kyrgyz Republic,KGZ,1365.508304
Lao PDR,LAO,2535.623434
Late-demographic dividend,LTE,11556.48646
Latin America & Caribbean,LCN,8478.633406
Latin America & Caribbean (excluding high income),LAC,7873.980782
Latin America & the Caribbean (IDA & IBRD countries),TLA,8262.542085
Latvia,LVA,20930.39824
Least developed countries: UN classification,LDC,1151.571315
Lebanon,LBN,4136.146575
Lesotho,LSO,1029.506189
Liberia,LBR,675.6631858
Libya,LBY,5908.951323
Liechtenstein,LIE,197504.5489
Lithuania,LTU,23849.6157
Low & middle income,LMY,5526.296135
Low income,LIC,678.65321
Lower middle income,LMC,2405.603576
Luxembourg,LUX,133711.7944
"Macao SAR, China",MAC,45104.89218
Madagascar,MDG,503.3520812
Malawi,MWI,633.6097332
Malaysia,MYS,11134.62295
Maldives,MDV,10076.31753
Mali,MLI,881.5100887
Malta,MLT,34881.29127
Marshall Islands,MHL,6130.437137
Mauritania,MRT,1998.394003
Mauritius,MUS,9068.980181
Mexico,MEX,10359.14986
"Micronesia, Fed. Sts.",FSM,3588.759933
Middle East & North Africa,MEA,7696.006608
Middle East & North Africa (excluding high income),MNA,3590.643853
Middle East & North Africa (IDA & IBRD countries),TMN,3589.595352
Middle income,MIC,6085.764133
Moldova,MDA,5274.744847
Monaco,MCO,235132.7842
Mongolia,MNG,4566.14013
Montenegro,MNE,9465.96153
Morocco,MAR,3767.524902
Mozambique,MOZ,504.0377871
Myanmar,MMR,1231.694666
Namibia,NAM,4919.188955
Nauru,NRU,11632.6925
Nepal,NPL,1229.394205
Netherlands,NLD,58727.87055
New Caledonia,NCL,37247.49312
New Zealand,NZL,49996.42067
Nicaragua,NIC,2064.929246
Niger,NER,590.6294948
Nigeria,NGA,2065.77441
North America,NAC,68399.10275
North Macedonia,MKD,6778.562878
Northern Mariana Islands,MNP,
Norway,NOR,93072.89251
Not classified,INX,
OECD members,OED,42731.28895
Oman,OMN,19509.46646
Other small states,OSS,13975.16651
Pacific island small states,PSS,3650.854152
Pakistan,PAK,1506.108293
Palau,PLW,12921.82732
Panama,PAN,15491.2898
Papua New Guinea,PNG,2624.60411
Paraguay,PRY,5959.441794
Peru,PER,6635.464148
Philippines,PHL,3460.539382
Poland,POL,18050.27944
Portugal,PRT,24661.16649
Post-demographic dividend,PST,49527.66013
Pre-demographic dividend,PRE,1417.16419
Puerto Rico,PRI,32601.56564
Qatar,QAT,66858.74172
Romania,ROU,14946.62497
Russia,RUS,12532.05078
Rwanda,RWA,821.1713948
Samoa,WSM,3857.689742
San Marino,SMR,54982.45171
Sao Tome and Principe,STP,2350.452701
Saudi Arabia,SAU,24315.61855
Senegal,SEN,1633.560119
Serbia,SRB,9232.961606
Seychelles,SYC,12963.05898
Sierra Leone,SLE,504.6212876
Singapore,SGP,77710.08924
Sint Maarten (Dutch part),SXM,31711.61199
Slovak Republic,SVK,21768.14867
Slovenia,SVN,29331.0647
Small states,SST,12682.81722
Solomon Islands,SLB,2232.536954
Somalia,SOM,576.5236782
South Africa,ZAF,7073.612754
South Asia,SAS,2136.192891
South Asia (IDA & IBRD),TSA,2136.192891
South Sudan,SSD,
Spain,ESP,30488.82095
Sri Lanka,LKA,3996.571995
St. Kitts and Nevis,KNA,18035.38614
St. Lucia,LCA,10916.22708
St. Martin (French part),MAF,20320.71688
St. Vincent and the Grenadines,VCT,8360.064239
Sub-Saharan Africa,SSF,1635.217341
Sub-Saharan Africa (excluding high income),SSA,1634.265336
Sub-Saharan Africa (IDA & IBRD countries),TSS,1635.217341
Sudan,SDN,749.7067871
Suriname,SUR,5026.879493
Sweden,SWE,61417.68088
Switzerland,CHE,93446.43445
Syrian Arab Republic,SYR,420.6227052
Tajikistan,TJK,916.6919671
Tanzania,TZA,1146.031982
Thailand,THA,7060.897707
Timor-Leste,TLS,2741.95082
Togo,TGO,976.6661831
Tonga,TON,4425.971492
Trinidad and Tobago,TTO,16056.30204
Tunisia,TUN,3807.184109
Turkiye,TUR,9743.213131
Turkmenistan,TKM,7885.299896
Turks and Caicos Islands,TCA,23158.6379
Tuvalu,TUV,5372.760239
Uganda,UGA,883.4657281
Ukraine,UKR,4827.845703
United Arab Emirates,ARE,44332.34005
United Kingdom,GBR,46869.75906
United States of America,USA,70219.47245
Upper middle income,UMC,10271.80149
Uruguay,URY,17923.99533
Uzbekistan,UZB,1993.424478
Vanuatu,VUT,3044.57364
"Venezuela, RB",VEN,
Viet Nam,VNM,3756.488901
Virgin Islands (U.S.),VIR,41976.00831
West Bank and Gaza,PSE,3678.635657
World,WLD,12316.10246
"Yemen, Rep.",YEM,543.6375376
Zambia,ZMB,1134.713454
Zimbabwe,ZWE,1773.920411
